ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263369,1275,-103.5,-19.25,403,39.7300534081649,43.6280355887825,0.000124,0.000002,1040,4,0,0.02
239310,61263369,1275,-103.6,-14.7,403,39.7447387605276,43.6203936259953,0.036826,0.022582,9453,531,6,0.05
239310,61263369,1275,-103.72,-14.41,403,39.7447387605276,43.621966971275,0.776213,0.812968,14397,911,6,0.46
239310,61263369,1275,-103.79,-14.53,403,39.744426306222,43.6210679168294,0.824216,0.263889,8217,746,6,0.43
239310,61263369,1275,-103.9,-13.73,403,39.7447387605276,43.6217422076636,5.760118,1.442989,11177,613,7,0.87
239310,61263369,1275,-103.92,-17.38,403,39.7319281339985,43.6280355887825,0.001239,0.000747,3400,350,3,0.12
239310,61263369,1275,-104,-12.5,403,39.7300534081649,43.6255631890572,0,0,\N,0,9,0.01
239310,61263369,1275,-104,-12.71,403,39.7450512148332,43.6210679168294,0.181466,0.125185,17977,1225,9,0.07
239310,61263369,1275,-104,-13.5,403,39.7434889433052,43.6217422076636,0.000172,0.000181,\N,109,5,0.02
239310,61263369,1275,-104,-14.5,403,39.7413017631661,43.6203936259953,0.006804,0.005842,7135,557,7,0.01
239310,61263369,1275,-104,-14.5,403,39.7428640346941,43.6493881318646,0.000011,0.000002,\N,5,4,0.01
239310,61263369,1275,-104,-14.5,403,39.7466134863611,43.616797408213,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-15,403,39.7450512148332,43.6498376590874,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-15.5,403,39.7434889433052,43.621966971275,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-15.75,403,39.7469259406667,43.6471404957507,\N,\N,\N,\N,\N,0.02
239310,61263369,1275,-104,-16,403,39.7294284995537,43.623090789332,0.000873,0.00527,\N,5,4,0.04
239310,61263369,1275,-104,-16,403,39.7456761234444,43.6453423868595,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-16,403,39.7475508492779,43.6462414413051,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-16.67,403,39.7409893088605,43.6163478809902,0.000011,0.000002,\N,16,4,0.03
239310,61263369,1275,-104,-16.75,403,39.7425515803885,43.6185955171042,\N,\N,\N,\N,\N,0.02
239310,61263369,1275,-104,-16.75,403,39.7434889433052,43.6190450443269,0.009677,0.003435,20294,960,7,0.02
239310,61263369,1275,-104,-17.5,403,39.7313032253873,43.6298336976737,\N,\N,\N,\N,\N,0.02
239310,61263369,1275,-104,-17.5,403,39.7409893088605,43.6172469354358,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-17.73,403,39.7316156796929,43.6278108251711,0.012472,0.033468,2608,5,3,0.13
239310,61263369,1275,-104,-18,403,39.7275537737202,43.6197193351611,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-18,403,39.7447387605276,43.6475900229734,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-18.5,403,39.7294284995537,43.6185955171042,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-18.5,403,39.7297409538593,43.6210679168294,0.000011,0.000002,\N,5,4,0.02
239310,61263369,1275,-104,-19,403,39.7297409538593,43.6212926804408,0.000011,0.000002,\N,5,2,0.02
239310,61263369,1275,-104,-19.5,403,39.7403644002493,43.6163478809902,\N,\N,\N,\N,\N,0.01
239310,61263369,1275,-104,-19.5,403,39.7409893088605,43.6170221718244,\N,0,\N,0,\N,0.01
