ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263367,1275,-100.62,-16.3,402,39.7372398571935,43.6163478809902,10.540386,1.027593,4558,785,5,1.86
239310,61263367,1275,-100.67,-16,402,39.7206797789972,43.6053344640322,0,0,\N,0,9,0.03
239310,61263367,1275,-100.67,-17.17,402,39.7416142174717,43.6197193351611,0.000433,0.000326,\N,68,4,0.03
239310,61263367,1275,-100.67,-17.33,402,39.7203673246916,43.6033115915296,0.000071,0.000002,496,0,5,0.03
239310,61263367,1275,-100.71,-18.5,402,39.7275537737202,43.6136507176536,0.00011,0.000053,460,64,3,0.07
239310,61263367,1275,-100.75,-18.38,402,39.7297409538593,43.6141002448764,\N,\N,\N,\N,\N,0.04
239310,61263367,1275,-100.79,-14.83,402,39.7428640346941,43.6181459898814,3.072103,0.12545,6759,668,7,0.29
239310,61263367,1275,-100.8,-14,402,39.7428640346941,43.61792122627,0.000101,0.000484,656,228,6,0.05
239310,61263367,1275,-100.81,-16.1,402,39.7403644002493,43.616797408213,0.867194,0.242216,5160,727,5,0.74
239310,61263367,1275,-100.82,-16.75,402,39.7413017631661,43.6170221718244,0.012581,0.017821,9120,373,5,0.22
239310,61263367,1275,-100.84,-13.41,402,39.7375523114991,43.616797408213,0.288695,0.081587,9394,419,8,0.74
239310,61263367,1275,-100.88,-15.22,402,39.7397394916382,43.6165726446017,42.682181,4.083565,6606,488,7,3.27
239310,61263367,1275,-100.88,-17.88,402,39.7272413194146,43.6136507176536,0.002115,0.003213,1044,61,1,0.08
239310,61263367,1275,-100.91,-18.41,402,39.7275537737202,43.6134259540422,0,0,\N,0,2,0.11
239310,61263367,1275,-100.98,-15.6,402,39.7409893088605,43.6161231173789,6.147552,1.044691,4375,448,6,0.46
